"Area","Roundness","R","G","B"
1.686500000000000000e+03,8.603104731785741199e-01,1.468143738977072417e+02,9.172222222222222854e+01,7.893121693121693738e+01
1.582500000000000000e+03,8.671224248159035142e-01,1.540860692102928056e+02,9.946628216503992803e+01,8.761845607808341185e+01
1.476000000000000000e+03,8.756626537311826830e-01,1.531182582879762606e+02,9.583028203859475980e+01,8.178129638792677270e+01
1.576500000000000000e+03,8.560581812898262477e-01,1.482904761904761983e+02,9.192619047619047024e+01,8.005095238095238130e+01
1.462500000000000000e+03,8.705538731428246191e-01,1.435594871794871779e+02,8.523589743589744216e+01,7.372666666666667368e+01
1.707000000000000000e+03,8.905997567727889086e-01,1.499700520833333428e+02,9.605815972222222854e+01,8.282552083333332860e+01
1.718000000000000000e+03,8.466915666165614196e-01,1.536481331168831161e+02,1.032828733766233711e+02,9.220941558441558072e+01
1.676500000000000000e+03,8.868861237806806574e-01,1.440597555454957046e+02,8.909325486645541048e+01,7.521231326392032202e+01
1.669000000000000000e+03,8.707738688071380295e-01,1.430764860139860275e+02,8.789860139860140009e+01,7.676442307692308020e+01
1.802500000000000000e+03,8.872189717038683199e-01,1.374666666666666686e+02,8.471166666666667311e+01,7.306624999999999659e+01
1.714500000000000000e+03,8.877981323821850790e-01,1.408740675734971433e+02,8.787494515138217821e+01,7.714699429574375245e+01
1.949000000000000000e+03,8.541071768689189048e-01,1.550943732193732103e+02,1.064070512820512846e+02,9.345868945868946298e+01
1.623000000000000000e+03,8.520945964368533687e-01,1.427884259259259352e+02,8.921342592592593235e+01,7.805648148148148380e+01
1.438500000000000000e+03,8.744041949392741264e-01,1.490489130434782510e+02,9.182559288537549946e+01,8.251679841897232848e+01
1.612500000000000000e+03,8.852216657996565541e-01,1.484205030849549019e+02,9.265733270052207615e+01,8.005220692928334358e+01
1.535500000000000000e+03,8.656864997150283125e-01,1.414941463414634200e+02,8.249512195121951663e+01,7.069317073170731192e+01
1.627500000000000000e+03,8.215185110821192627e-01,1.445526315789473699e+02,9.130263157894736992e+01,8.285526315789473983e+01
2.004000000000000000e+03,8.676287245915261792e-01,1.443600305110602733e+02,9.250839054157131613e+01,7.897940503432494097e+01
1.768500000000000000e+03,8.440231835697742380e-01,1.524735177865612741e+02,1.004905138339920967e+02,8.887470355731225879e+01
1.613500000000000000e+03,8.841087092830712812e-01,1.490868794326241016e+02,9.544858156028368512e+01,8.385948581560283799e+01
1.915000000000000000e+03,8.608492263237091935e-01,1.502426242236024905e+02,9.831211180124223858e+01,8.521001552795030420e+01
1.708500000000000000e+03,8.753564091391242696e-01,1.461846808510638311e+02,9.367234042553191387e+01,8.357446808510638903e+01
1.895000000000000000e+03,8.711104571519879824e-01,1.499078801331853583e+02,9.902293747687754433e+01,8.522308546059933576e+01
1.196500000000000000e+03,8.657889957895368305e-01,1.554741917186613591e+02,9.708508224617129656e+01,8.920816789563244242e+01
1.725000000000000000e+03,8.734181677202420557e-01,1.370299642218246845e+02,8.246019677996422104e+01,7.148300536672630301e+01
1.611000000000000000e+03,8.775893839262745022e-01,1.431196013289036557e+02,8.438205980066445022e+01,7.119601328903654291e+01
1.814500000000000000e+03,8.623258792788989213e-01,1.472076767676767588e+02,9.456565656565656752e+01,8.380121212121211727e+01
2.002000000000000000e+03,8.737884139860849775e-01,1.432781432748537895e+02,9.509722222222222854e+01,8.303472222222222854e+01
2.012500000000000000e+03,8.723377225698442095e-01,1.469720965309200551e+02,9.211538461538461320e+01,7.775565610859727883e+01
2.352500000000000000e+03,8.660834816060353214e-01,1.454830827067669077e+02,9.587186716791980245e+01,8.134868421052631504e+01
2.396500000000000000e+03,8.590159350578381314e-01,1.642554061952074846e+02,1.174360023378141449e+02,1.065248392752776141e+02
2.398000000000000000e+03,7.204956482142255147e-01,1.681335784313725412e+02,1.172438725490196134e+02,1.036939338235294059e+02
2.683000000000000000e+03,8.154419355029728367e-01,1.537005555555555532e+02,1.049402777777777800e+02,8.861333333333332973e+01
2.348000000000000000e+03,8.303108377747528968e-01,1.557168560606060623e+02,1.042386363636363598e+02,9.117045454545454675e+01
2.045500000000000000e+03,8.497494990719193231e-01,1.582026143790849630e+02,1.053484692122463002e+02,9.030099759201925735e+01
2.247000000000000000e+03,8.281439562908191609e-01,1.754378556454028057e+02,1.248382749326145529e+02,1.092216232404911693e+02
2.047500000000000000e+03,8.587415084430599643e-01,1.609852216748768399e+02,1.080362420830401078e+02,9.483884588318085207e+01
2.304500000000000000e+03,8.316028167149327466e-01,1.563830845771144311e+02,1.027051409618573814e+02,8.637313432835820493e+01
2.360500000000000000e+03,8.536490557677773872e-01,1.642132730015082984e+02,1.137423831070889833e+02,9.912458521870286177e+01
2.440000000000000000e+03,7.968010766047106674e-01,1.549086201644836933e+02,9.357447456594577773e+01,7.070088333840999439e+01
2.280500000000000000e+03,8.645341750649927492e-01,1.607460653753026634e+02,1.033305084745762770e+02,8.251846246973366306e+01
2.458500000000000000e+03,8.564873021598918834e-01,1.591787878787878867e+02,1.013021212121212073e+02,7.240969696969696656e+01
2.440000000000000000e+03,7.968010766047106674e-01,1.547039293329272027e+02,9.357843435881815708e+01,7.103381053914102949e+01
2.855000000000000000e+03,8.566133358417427068e-01,1.522785714285714391e+02,9.394821428571428612e+01,7.292525510204082195e+01
2.440000000000000000e+03,7.968010766047106674e-01,1.548946085897045464e+02,9.368473956746878173e+01,7.098263783125190685e+01
2.832500000000000000e+03,8.066185165542361091e-01,1.157606752730883812e+02,7.074528301886792292e+01,6.832745779543198239e+01
2.123000000000000000e+03,8.450389136762656017e-01,1.184036388140161762e+02,6.727392183288409910e+01,6.472742587601078412e+01
3.074000000000000000e+03,7.816295703309843468e-01,1.241181226139681115e+02,8.025016842578037313e+01,7.675162811587694023e+01
2.236500000000000000e+03,8.446668964065366936e-01,1.226901364764268010e+02,7.422642679900744156e+01,7.164267990074441173e+01
