"Area","Roundness","R","G","B"
1.681500000000000000e+03,8.577598936553645359e-01,1.650850970017636712e+02,1.063399470899470884e+02,8.768165784832451948e+01
1.574500000000000000e+03,8.403946548852920806e-01,1.711743566992014109e+02,1.126091393078970668e+02,9.562377994676131721e+01
1.477500000000000000e+03,8.836515319517675993e-01,1.716412666996536416e+02,1.103156853043047931e+02,8.996833250865907416e+01
1.566000000000000000e+03,8.663902990125113002e-01,1.678928571428571388e+02,1.075647619047619088e+02,9.021333333333333826e+01
1.450500000000000000e+03,8.634108670042167644e-01,1.610512820512820440e+02,9.944923076923076621e+01,8.285948717948717501e+01
1.701500000000000000e+03,8.810665046650848486e-01,1.695355902777777715e+02,1.117170138888888857e+02,9.263628472222222854e+01
1.710500000000000000e+03,8.247421372755813218e-01,1.708944805194805099e+02,1.173989448051948017e+02,1.010641233766233711e+02
1.669000000000000000e+03,8.896684651605277772e-01,1.627904028972385788e+02,1.036229062924400210e+02,8.359121774558623486e+01
1.660500000000000000e+03,8.729163321478790039e-01,1.588282342657342667e+02,1.002124125874125866e+02,8.407561188811189368e+01
1.808500000000000000e+03,8.901722664779172511e-01,1.524658333333333360e+02,9.694750000000000512e+01,8.006374999999999886e+01
1.704000000000000000e+03,8.757624024299959231e-01,1.581154014918824089e+02,1.017288284335234749e+02,8.596050899517332766e+01
1.942000000000000000e+03,8.233067655556320918e-01,1.751981132075471805e+02,1.225146750524109081e+02,1.042078965758211098e+02
1.615000000000000000e+03,8.478944998432028646e-01,1.600587962962962933e+02,1.033324074074074019e+02,8.711805555555555713e+01
1.426500000000000000e+03,8.771889718328558239e-01,1.625782828282828234e+02,1.025136363636363654e+02,8.864343434343435035e+01
1.610000000000000000e+03,8.770446357053395259e-01,1.685832937826293403e+02,1.086829615567157106e+02,9.021309919316563253e+01
1.533000000000000000e+03,8.575345205389923731e-01,1.572468292682926858e+02,9.477756097560975945e+01,7.781317073170731646e+01
1.608500000000000000e+03,8.119278187868440577e-01,1.621302177858439109e+02,1.051878402903811320e+02,9.251497277676951114e+01
2.004000000000000000e+03,8.761285123563078425e-01,1.622896686159843966e+02,1.068721247563352819e+02,8.680623781676413842e+01
1.759500000000000000e+03,8.397279001928288356e-01,1.695320158102766754e+02,1.142648221343873587e+02,9.750592885375493779e+01
1.611500000000000000e+03,8.830128199626089414e-01,1.655323581560283799e+02,1.086702127659574444e+02,9.201108156028368512e+01
1.909000000000000000e+03,8.703061069065489708e-01,1.707760093167701996e+02,1.150923913043478279e+02,9.599728260869565588e+01
1.698500000000000000e+03,8.702328714795449782e-01,1.633000000000000114e+02,1.071417021276595705e+02,9.241617021276596233e+01
1.890000000000000000e+03,8.775842585815839536e-01,1.647948717948717956e+02,1.105384615384615330e+02,9.069117647058823195e+01
1.184500000000000000e+03,8.571057797849613857e-01,1.692229154849688086e+02,1.083261486103233153e+02,9.656437889960294285e+01
1.712000000000000000e+03,8.760249012405064706e-01,1.542866726296958859e+02,9.575805008944543317e+01,7.976296958855098751e+01
1.612000000000000000e+03,8.686325450767047318e-01,1.608362600854295295e+02,9.824679639297579570e+01,7.924157570004746276e+01
1.805500000000000000e+03,8.668587314954575573e-01,1.633388429752066031e+02,1.076731404958677700e+02,9.150123966942149423e+01
2.003000000000000000e+03,8.742248717353287013e-01,1.474803921568627345e+02,9.241628959276017952e+01,7.801847662141780404e+01
2.348500000000000000e+03,8.646108635714235824e-01,1.457443609022556359e+02,9.593045112781955197e+01,8.147211779448620916e+01
2.389500000000000000e+03,8.489776411830349812e-01,1.648024547048509589e+02,1.174804208065458795e+02,1.065908825248392731e+02
2.406000000000000000e+03,7.775162398399779740e-01,1.674993872549019613e+02,1.176170343137254832e+02,1.039120710784313673e+02
2.686500000000000000e+03,8.118214788795120596e-01,1.535766666666666538e+02,1.047163888888888863e+02,8.838500000000000512e+01
2.345000000000000000e+03,8.292499636208668923e-01,1.559131944444444571e+02,1.042414772727272663e+02,9.111931818181818699e+01
2.043500000000000000e+03,8.489186513583315552e-01,1.583288613691090347e+02,1.052490540075679348e+02,9.011317509459924224e+01
2.249500000000000000e+03,8.312485038516491676e-01,1.741409007912355378e+02,1.235286062081558072e+02,1.074914790018259225e+02
2.042500000000000000e+03,8.566444595823932140e-01,1.613722730471498892e+02,1.082744546094299807e+02,9.504152005629838129e+01
2.305500000000000000e+03,8.246258272159888714e-01,1.580212418300653496e+02,1.039156862745098096e+02,8.774836601307190165e+01
2.353500000000000000e+03,8.511175821857505097e-01,1.647417797888386133e+02,1.143263951734540029e+02,9.963800904977375694e+01
