Area;Roundness;R;G;B
1,41E+21;8,88E+17;1,45E+20;8,68E+19;7,54E+19
1,60E+21;8,64E+17;1,57E+20;9,83E+19;8,63E+19
1,73E+21;8,42E+17;1,57E+20;1,06E+20;9,59E+19
1,57E+21;8,62E+17;1,52E+20;9,49E+19;8,04E+19
1,46E+21;8,67E+17;1,52E+20;9,10E+19;7,68E+19
1,91E+21;8,06E+17;1,45E+20;9,25E+19;8,04E+19
1,43E+21;8,51E+17;1,56E+20;9,95E+19;8,90E+19
1,35E+21;8,47E+17;1,62E+20;1,03E+20;9,11E+19
1,82E+21;8,78E+17;1,46E+20;9,01E+19;7,40E+19
1,45E+21;8,52E+17;1,52E+20;9,19E+19;7,82E+19
1,76E+21;8,73E+17;1,51E+20;9,62E+19;8,28E+19
1,06E+21;8,61E+17;1,64E+20;9,76E+19;8,83E+19
1,87E+21;8,74E+17;1,45E+20;9,46E+19;8,35E+19
1,37E+21;8,73E+17;1,59E+20;1,01E+20;8,98E+19
1,71E+21;8,62E+17;1,48E+20;9,58E+19;8,59E+19
1,86E+21;8,37E+17;1,61E+20;1,13E+20;1,03E+20
1,79E+21;8,59E+17;1,57E+20;1,04E+20;9,09E+19
1,64E+21;8,79E+17;1,43E+20;9,02E+19;8,19E+19
1,65E+21;8,68E+17;1,58E+20;1,03E+20;8,96E+19
1,94E+21;8,56E+17;1,44E+20;9,15E+19;7,94E+19
1,43E+21;8,54E+17;1,61E+20;1,04E+20;9,33E+19
2,21E+21;8,38E+17;1,53E+20;1,06E+20;9,29E+19
1,78E+21;7,70E+17;1,62E+20;1,08E+20;9,50E+19
1,74E+21;8,76E+17;1,62E+20;1,12E+20;1,02E+20
1,48E+21;8,69E+17;1,60E+20;1,04E+20;9,24E+19
1,78E+21;8,33E+17;1,55E+20;1,01E+20;8,90E+19
2,00E+21;8,74E+17;1,43E+20;9,51E+19;8,30E+19
2,35E+21;8,70E+17;1,60E+20;1,11E+20;9,71E+19
2,50E+21;8,38E+17;1,65E+20;1,18E+20;1,04E+20
1,96E+21;8,81E+17;1,59E+20;1,06E+20;9,24E+19
2,35E+21;8,24E+17;1,50E+20;9,90E+19;8,59E+19
2,03E+21;8,19E+17;1,71E+20;1,18E+20;1,05E+20
2,01E+21;8,10E+17;1,56E+20;9,97E+19;8,27E+19
2,24E+21;8,59E+17;1,59E+20;1,09E+20;9,42E+19
2,28E+21;8,65E+17;1,49E+20;9,87E+19;8,61E+19
2,21E+21;8,59E+17;1,71E+20;1,21E+20;1,06E+20
2,55E+21;8,13E+17;1,70E+20;1,21E+20;1,09E+20
2,24E+21;7,60E+17;1,76E+20;1,25E+20;1,12E+20
1,98E+21;8,65E+17;1,49E+20;9,51E+19;8,30E+19
2,28E+21;8,65E+17;1,60E+20;1,03E+20;8,24E+19
2,88E+21;8,72E+17;1,48E+20;9,47E+19;6,89E+19
2,44E+21;7,97E+17;1,54E+20;9,32E+19;7,06E+19
2,46E+21;8,56E+17;1,59E+20;1,01E+20;7,27E+19
2,83E+21;8,07E+17;1,16E+20;7,07E+19;6,83E+19
2,12E+21;8,45E+17;1,18E+20;6,73E+19;6,47E+19
3,07E+21;7,82E+17;1,24E+20;8,03E+19;7,68E+19
2,24E+21;8,45E+17;1,23E+20;7,42E+19;7,16E+19
1,98E+21;8,00E+17;1,30E+20;7,93E+19;7,76E+19
2,24E+21;7,43E+17;1,08E+20;5,70E+19;5,65E+19
