"Area","Roundness","R","G","B"
1.681500000000000000e+03,8.577598936553645359e-01,1.650850970017636712e+02,1.063399470899470884e+02,8.768165784832451948e+01
1.574500000000000000e+03,8.403946548852920806e-01,1.711743566992014109e+02,1.126091393078970668e+02,9.562377994676131721e+01
1.477500000000000000e+03,8.836515319517675993e-01,1.716412666996536416e+02,1.103156853043047931e+02,8.996833250865907416e+01
1.566000000000000000e+03,8.663902990125113002e-01,1.678928571428571388e+02,1.075647619047619088e+02,9.021333333333333826e+01
1.450500000000000000e+03,8.634108670042167644e-01,1.610512820512820440e+02,9.944923076923076621e+01,8.285948717948717501e+01
1.701500000000000000e+03,8.810665046650848486e-01,1.695355902777777715e+02,1.117170138888888857e+02,9.263628472222222854e+01
1.710500000000000000e+03,8.247421372755813218e-01,1.708944805194805099e+02,1.173989448051948017e+02,1.010641233766233711e+02
1.669000000000000000e+03,8.896684651605277772e-01,1.627904028972385788e+02,1.036229062924400210e+02,8.359121774558623486e+01
1.660500000000000000e+03,8.729163321478790039e-01,1.588282342657342667e+02,1.002124125874125866e+02,8.407561188811189368e+01
1.808500000000000000e+03,8.901722664779172511e-01,1.524658333333333360e+02,9.694750000000000512e+01,8.006374999999999886e+01
1.704000000000000000e+03,8.757624024299959231e-01,1.581154014918824089e+02,1.017288284335234749e+02,8.596050899517332766e+01
1.942000000000000000e+03,8.233067655556320918e-01,1.751981132075471805e+02,1.225146750524109081e+02,1.042078965758211098e+02
1.615000000000000000e+03,8.478944998432028646e-01,1.600587962962962933e+02,1.033324074074074019e+02,8.711805555555555713e+01
1.426500000000000000e+03,8.771889718328558239e-01,1.625782828282828234e+02,1.025136363636363654e+02,8.864343434343435035e+01
1.610000000000000000e+03,8.770446357053395259e-01,1.685832937826293403e+02,1.086829615567157106e+02,9.021309919316563253e+01
1.533000000000000000e+03,8.575345205389923731e-01,1.572468292682926858e+02,9.477756097560975945e+01,7.781317073170731646e+01
1.608500000000000000e+03,8.119278187868440577e-01,1.621302177858439109e+02,1.051878402903811320e+02,9.251497277676951114e+01
2.004000000000000000e+03,8.761285123563078425e-01,1.622896686159843966e+02,1.068721247563352819e+02,8.680623781676413842e+01
1.759500000000000000e+03,8.397279001928288356e-01,1.695320158102766754e+02,1.142648221343873587e+02,9.750592885375493779e+01
1.611500000000000000e+03,8.830128199626089414e-01,1.655323581560283799e+02,1.086702127659574444e+02,9.201108156028368512e+01
1.909000000000000000e+03,8.703061069065489708e-01,1.707760093167701996e+02,1.150923913043478279e+02,9.599728260869565588e+01
1.698500000000000000e+03,8.702328714795449782e-01,1.633000000000000114e+02,1.071417021276595705e+02,9.241617021276596233e+01
1.890000000000000000e+03,8.775842585815839536e-01,1.647948717948717956e+02,1.105384615384615330e+02,9.069117647058823195e+01
1.184500000000000000e+03,8.571057797849613857e-01,1.692229154849688086e+02,1.083261486103233153e+02,9.656437889960294285e+01
1.712000000000000000e+03,8.760249012405064706e-01,1.542866726296958859e+02,9.575805008944543317e+01,7.976296958855098751e+01
1.612000000000000000e+03,8.686325450767047318e-01,1.608362600854295295e+02,9.824679639297579570e+01,7.924157570004746276e+01
1.805500000000000000e+03,8.668587314954575573e-01,1.633388429752066031e+02,1.076731404958677700e+02,9.150123966942149423e+01
1.822500000000000000e+03,8.840514395677914194e-01,1.537509513742071761e+02,1.003496828752642642e+02,8.608118393234671828e+01
1.816500000000000000e+03,8.474154305941355991e-01,1.701225083056478411e+02,1.105107973421926886e+02,8.927823920265780089e+01
1.378000000000000000e+03,8.788722647764704021e-01,1.572479338842975096e+02,9.789411157024792942e+01,8.621694214876032447e+01
1.555500000000000000e+03,8.523279189896606489e-01,1.772777284826974267e+02,1.199449866903283066e+02,1.035479148181011482e+02
1.223000000000000000e+03,8.100567440317307799e-01,1.590681250000000091e+02,9.344249999999999545e+01,7.812500000000000000e+01
1.622000000000000000e+03,8.591752262072253066e-01,1.623469565217391164e+02,1.047582608695652198e+02,8.828260869565217206e+01
9.700000000000000000e+02,8.005207923790466085e-01,1.842407670454545325e+02,1.130596590909090935e+02,9.405397727272726627e+01
1.536000000000000000e+03,8.728041021879623385e-01,1.605317073170731703e+02,9.993707317073170771e+01,8.333317073170731248e+01
1.589500000000000000e+03,8.709580374375220924e-01,1.752604444444444312e+02,1.172137777777777785e+02,9.951733333333334031e+01
1.656500000000000000e+03,8.669609705674757860e-01,1.630964444444444439e+02,1.045248888888888956e+02,8.577599999999999625e+01
1.434500000000000000e+03,8.579344315294826773e-01,1.685654554504728821e+02,1.068113489298158356e+02,9.234892981582876814e+01
